,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
10,Applied Data Science,IBM,SPECIALIZATION,4.6,23765 reviews,Beginner,260k,https://www.coursera.org/specializations/applied-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8b/61b3208e9411e8bd0e199d89262fda/Applied_Data_Science.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Get hands-on skills for a Career in Data Science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning.",4.6stars,"17,680 ratings","Joseph Santarcangelo, Alex Aklson","28,785","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Data Analysis, Python Programming, Data Visualization (DataViz), Matplotlib, Data Science, Numpy, Pandas, Predictive Modelling, Model Selection, Data Virtualization",Data Analysis;Machine Learning;Python;Science,Data Analysis;Computer Science;Math and Logic;Data Science;Life Science
11,Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,17558 reviews,Beginner,540k,https://www.coursera.org/specializations/wharton-business-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/wharton-business-foundations/wharton-business-foundations-logo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",4.8stars,"9,402 ratings","Barbara E. Kahn, Peter Fader, Jagmohan Raju, Brian J Bushee, Michael Useem, Peter Cappelli, Michael R Roberts, Christian Terwiesch","91,359","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English",English,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow",Accounting;Business;Business Management;Finance;Human Resources;Management;Marketing;Strategy,Accounting;Business;Business;Marketing
12,IBM Cybersecurity Analyst,IBM,PROFESSIONAL CERTIFICATE,4.5,3901 reviews,Beginner,77k,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/67/6a8a23c93d424fa3a39138428681f3/Professional_Certificate_-_IBM_Cybersecurity_Analyst.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Launch your career in Cybersecurity. The IBM Cybersecurity Analyst Professional Certificate is your entry point into a new career in #cybersecurity. ,4.5stars,"3,049 ratings",IBM Security Learning Services,"12,554","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English",English,"information security analyst, IT security analyst, security analyst, Junior cybersecurity analyst, Information Security (INFOSEC), IBM New Collar, Malware, Cybersecurity, Cyber Attacks, database vulnerabilities, Network Security, Sql Injection",Analyst;Cybersecurity;Database;IBM;SQL;SQL ,Analyst;Computer Science;Personal Development;Data Science
13,Indigenous Canada,University of Alberta,COURSE,4.8,2028 reviews,Mixed,86k,https://www.coursera.org/learn/indigenous-canada,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/35/01fcc0dd0011e6bfe6e9e792d574eb/Logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Dr. Tracy Bear, Dr. Paul L. Gareau",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Art History, Art, History, Mythology",History ,History 
14,Data Science,Johns Hopkins University,SPECIALIZATION,4.5,39775 reviews,Beginner,910k,https://www.coursera.org/specializations/jhu-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",4.6stars,"27,124 ratings","Jeff Leek, PhD, Roger D. Peng, PhD, Brian Caffo, PhD","332,598","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 11 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 11 months to complete, English",English,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis",Data Analysis;Data Manipulation;GitHub;Machine Learning;R;Science,Data Analysis;Computer Science;Math and Logic;Data Science;Life Science
15,IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,3788 reviews,Beginner,76k,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/92/13ececb5a44bb7a15d6fb8d4d1433e/IT_Fund_for_Cyber_Specialist.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,4.5stars,"3,049 ratings",IBM Security Learning Services,"23,279","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection",Cybersecurity;Database;IBM;SQL;SQL ,Cybersecurity;Personal Development;Data Science
16,IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,22039 reviews,Beginner,270k,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2d/c35b3f894a40b2bd4af2451b6daa8b/Professional-Certificate---Applied-AI.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Kick-start Your Career with Artifical Intelligence,4.7stars,"4,106 ratings","Rav Ahuja, Antonio Cangiano, Joseph Santarcangelo, Tanmay Bakshi, Yi Leng Yao, Sacchit Chadha","20,657","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English",English,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson AI, Jobs, Application Programming Interfaces (API), watson, Python Programming, Numpy, Pandas, Artifical Intelligence",Artificial Intelligence;Deep Learning;IBM;Machine Learning;Python;Science,Artificial Intelligence;Data Science;Math and Logic;Business;Life Science
17,Excel Skills for Business,Macquarie University,SPECIALIZATION,4.8,23273 reviews,Beginner,350k,https://www.coursera.org/specializations/excel,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a5/5fe03ce0bd4774b8025536110a845e/04.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,4.9stars,"19,690 ratings","Nicky Bull, Dr Prashan S. M. Karunaratne, A/Professor Yvonne Breyer","153,600","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba",Business;Excel;Microsoft;Portfolio,Business;Business;Math and Logic;Computer Science
18,Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,37665 reviews,Beginner,810k,https://www.coursera.org/specializations/data-science-foundations-r,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b6/e4931fd75a409c9a6dfae9ad95f903/Data-Science-Fundementals-in-Research.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,"27,124 ratings","Jeff Leek, PhD, Roger D. Peng, PhD, Brian Caffo, PhD","34,176","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis",Data Analysis;Data Manipulation;GitHub;Machine Learning;R;Science,Data Analysis;Computer Science;Math and Logic;Data Science;Life Science
19,TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,12860 reviews,Intermediate,200k,https://www.coursera.org/specializations/tensorflow-in-practice,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f9/0b7f2715b04c3fba7f716e95f1a87e/tfm1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,"10,379 ratings",Laurence Moroney,"65,927","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,"Computer Vision, Convolutional Neural Network, Machine Learning, Natural Language Processing, Tensorflow, Inductive Transfer, Augmentation, Dropouts, Tokenization, RNNs, Forecasting, Time Series",Computer Vision;Language;Machine Learning;Natural Language Processing;TensorFlow,Computer Vision;Language and Communication;Data Science;Math and Logic
20,Cloud Architecture with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,38207 reviews,Intermediate,360k,https://www.coursera.org/professional-certificates/gcp-cloud-architect,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1d/714104d1c241e8981bb58390da9811/Option-2_1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Advance your career in cloud architecture,4.7stars,"32,058 ratings",Google Cloud Training,"31,145","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 3 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 3 months to complete, English",English,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, Virtual Machine, Network Architecture, Debugging, Cloud Storage, Data Store, Load Balancing, Virtual Private Network (VPN), Autoscaling",Architecture;Cloud Computing;Google,Architecture;Computer Science;Physical Science and Engineering;Marketing
21,Financial Markets,Yale University,COURSE,4.8,10271 reviews,Beginner,600k,https://www.coursera.org/learn/financial-markets-global,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/51/51d7604aba11e7ae3525d9720463e7/Shiller_FinancialMarkets_New.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Robert Shiller,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Behavioral Finance, Financial Markets, Finance, Behavioral Economics",Economics;Finance,Economics
22,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,38030 reviews,Intermediate,360k,https://www.coursera.org/specializations/gcp-architecture,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6a/75d00056d811e7aae86b0ee90dd46b/hero-2.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Launch your career in Cloud Architecture. Design, develop, and manage cloud solutions to drive business objectives.",4.7stars,"32,058 ratings",Google Cloud Training,"29,658","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 3 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 3 months to complete, English",English,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, Virtual Machine, Network Architecture, Debugging, Cloud Storage, Data Store, Load Balancing, Virtual Private Network (VPN), Autoscaling",Architecture;Business;Cloud Computing;Design;Google,Architecture;Computer Science;Physical Science and Engineering;Business;Business;Marketing
23,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,11217 reviews,Beginner,280k,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/28/3d88b3745e4072901d6db7fb8d2f9c/financeModeling_specialization_coursera.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,"6,205 ratings","Richard Waterman, Don Huesman, Richard Lambert, Christopher D. Ittner, Michael R Roberts","8,914","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making",Excel;Finance;Financial Analysis;Financial Modeling;Microsoft,Excel;Business;Computer Science
24,Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,37807 reviews,Intermediate,360k,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/64/b30013147f4398b756ee843ce9895c/Option-1_1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Start your career in the cloud,4.7stars,"32,058 ratings",Google Cloud Training,"30,307","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, Virtual Machine, Network Architecture, Debugging, Cloud Storage, Data Store, Load Balancing, Virtual Private Network (VPN), Autoscaling",Architecture;Cloud Computing;Engineering;Google,Architecture;Computer Science;Physical Science and Engineering;Marketing
25,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,9537 reviews,Beginner,160k,https://www.coursera.org/professional-certificates/google-it-automation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/10/94e64625eb4b41b05e66ed0e5bab30/Xavier-MI-Thompson-119.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Learn in-demand skills like Python, Git, and IT automation to advance your career.",4.8stars,"8,019 ratings",GoogleTop Instructor,"93,718","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English",English,"Using Version Control, Troubleshooting & Debugging, Python Programming, Configuration Management, Automation, Basic Python Data Structures, Fundamental Programming Concepts, Basic Python Syntax, Object-Oriented Programming (OOP), Setting up your Development Environment, Regular Expression (REGEX), Testing in Python",Career Development;Data Structures;Data Structures with Python;Git ;Google;Management;Object Oriented Programming ;Python,Career Development;Art and Design;Computer Science;Marketing;Data Science;Physical Science and Engineering;Math and Logic
26,Graphic Design,California Institute of the Arts,SPECIALIZATION,4.7,11155 reviews,Beginner,410k,https://www.coursera.org/specializations/graphic-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1d/5c8ca09f9b11e58b2bcd64bf4ee4c5/00.SPEC_1200-x-1200_logo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,4.8stars,"9,610 ratings","Michael Worthington, Anther Kiley, Gail Swanlund, Louise Sandhaus, Lorraine Wild","126,522","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign",Adobe;Adobe Illustrator ;Branding;Communication;Creativity;Design;Graphic Design;History ;InDesign ,Adobe;Computer Science;Marketing;Business;Language and Communication;Social Science
